id,user,date,pc,activity
L448,U126,2024-01-01 08:10:33.358342,PC-126,Logon
L466,U126,2024-01-01 16:25:20.736886,PC-126,Logoff
L467,U127,2024-01-01 08:32:50.513462,PC-127,Logon
L479,U127,2024-01-01 16:13:56.541358,PC-127,Logoff
L480,U128,2024-01-01 08:53:10.075069,PC-128,Logon
L492,U128,2024-01-01 15:44:30.689237,PC-128,Logoff
L493,U129,2024-01-01 07:42:20.846974,PC-129,Logon
L506,U129,2024-01-01 15:27:25.585363,PC-129,Logoff
L507,U130,2024-01-01 08:49:44.480197,PC-130,Logon
L528,U130,2024-01-01 18:15:13.364517,PC-130,Logoff
L529,U131,2024-01-01 08:27:58.473110,PC-131,Logon
L546,U131,2024-01-01 17:28:30.346760,PC-131,Logoff
L547,U132,2024-01-01 07:50:31.817465,PC-132,Logon
L564,U132,2024-01-01 16:39:01.453394,PC-132,Logoff
L565,U133,2024-01-01 09:34:48.480163,PC-133,Logon
L583,U133,2024-01-01 17:25:50.833298,PC-133,Logoff
L584,U134,2024-01-01 08:00:25.542972,PC-134,Logon
L607,U134,2024-01-01 17:30:21.953915,PC-134,Logoff
L608,U135,2024-01-01 09:23:51.723584,PC-135,Logon
L626,U135,2024-01-01 18:59:51.078585,PC-135,Logoff
L627,U136,2024-01-01 07:50:38.184164,PC-136,Logon
L639,U136,2024-01-01 14:32:08.664427,PC-136,Logoff
L640,U137,2024-01-01 07:56:31.136097,PC-137,Logon
L656,U137,2024-01-01 16:48:17.097187,PC-137,Logoff
L657,U138,2024-01-01 08:51:10.750356,PC-138,Logon
L671,U138,2024-01-01 16:04:04.832122,PC-138,Logoff
L672,U139,2024-01-01 08:33:38.837470,PC-139,Logon
L690,U139,2024-01-01 18:17:54.545133,PC-139,Logoff
L691,U140,2024-01-01 08:27:10.246668,PC-140,Logon
L713,U140,2024-01-01 17:57:45.829188,PC-140,Logoff
L714,U141,2024-01-01 07:41:49.308678,PC-141,Logon
L732,U141,2024-01-01 15:34:16.558284,PC-141,Logoff
L733,U142,2024-01-01 08:00:14.692016,PC-142,Logon
L751,U142,2024-01-01 15:32:19.964363,PC-142,Logoff
L752,U143,2024-01-01 08:41:50.491101,PC-143,Logon
L768,U143,2024-01-01 17:44:03.405869,PC-143,Logoff
L769,U144,2024-01-01 08:37:23.617809,PC-144,Logon
L786,U144,2024-01-01 16:28:33.244315,PC-144,Logoff
L787,U145,2024-01-01 08:10:24.542890,PC-145,Logon
L802,U145,2024-01-01 16:13:18.828275,PC-145,Logoff
L803,U146,2024-01-01 08:15:20.873641,PC-146,Logon
L817,U146,2024-01-01 15:54:52.657001,PC-146,Logoff
L818,U147,2024-01-01 08:50:54.850244,PC-147,Logon
L831,U147,2024-01-01 17:06:43.881351,PC-147,Logoff
L832,U148,2024-01-01 08:44:26.305204,PC-148,Logon
L849,U148,2024-01-01 17:49:09.267593,PC-148,Logoff
L850,U149,2024-01-01 09:26:45.452619,PC-149,Logon
L865,U149,2024-01-01 16:49:37.917109,PC-149,Logoff
L866,U100,2024-01-02 07:42:07.449974,PC-100,Logon
L880,U100,2024-01-02 15:25:44.411142,PC-100,Logoff
L881,U101,2024-01-02 09:32:36.689920,PC-101,Logon
L899,U101,2024-01-02 17:47:52.515959,PC-101,Logoff
L900,U102,2024-01-02 07:55:17.294158,PC-102,Logon
L914,U102,2024-01-02 16:02:43.922650,PC-102,Logoff
L915,U103,2024-01-02 09:02:38.381892,PC-103,Logon
L926,U103,2024-01-02 15:55:15.297921,PC-103,Logoff
L927,U104,2024-01-02 08:53:26.555730,PC-104,Logon
L942,U104,2024-01-02 18:19:25.103956,PC-104,Logoff
L943,U105,2024-01-02 09:07:16.644826,PC-105,Logon
L956,U105,2024-01-02 14:34:57.109260,PC-105,Logoff
L957,U106,2024-01-02 07:03:18.018653,PC-106,Logon
L971,U106,2024-01-02 15:33:27.607350,PC-106,Logoff
L972,U107,2024-01-02 08:09:38.463422,PC-107,Logon
L989,U107,2024-01-02 15:57:58.900942,PC-107,Logoff
L990,U108,2024-01-02 08:21:06.767624,PC-108,Logon
L1006,U108,2024-01-02 16:44:56.083766,PC-108,Logoff
L1007,U109,2024-01-02 09:51:07.181616,PC-109,Logon
L1022,U109,2024-01-02 17:57:31.092770,PC-109,Logoff
L1023,U110,2024-01-02 08:28:06.574354,PC-110,Logon
L1037,U110,2024-01-02 17:07:02.498594,PC-110,Logoff
L1038,U111,2024-01-02 08:48:48.100503,PC-111,Logon
L1060,U111,2024-01-02 18:29:31.029279,PC-111,Logoff
L1061,U112,2024-01-02 07:15:25.128101,PC-112,Logon
L1074,U112,2024-01-02 14:36:11.683939,PC-112,Logoff
L1075,U113,2024-01-02 09:06:42.289417,PC-113,Logon
L1093,U113,2024-01-02 18:48:40.261909,PC-113,Logoff
L1094,U114,2024-01-02 08:33:21.494421,PC-114,Logon
L1110,U114,2024-01-02 15:23:06.715958,PC-114,Logoff
L1111,U115,2024-01-02 07:54:17.605481,PC-115,Logon
L1126,U115,2024-01-02 17:00:08.984405,PC-115,Logoff
L1127,U116,2024-01-02 08:54:15.813027,PC-116,Logon
L1145,U116,2024-01-02 17:34:48.260131,PC-116,Logoff
L1146,U117,2024-01-02 08:41:14.658163,PC-117,Logon
L1165,U117,2024-01-02 19:16:44.302488,PC-117,Logoff
L1166,U118,2024-01-02 08:27:17.553221,PC-118,Logon
L1179,U118,2024-01-02 15:48:11.019581,PC-118,Logoff
L1180,U119,2024-01-02 08:10:33.890965,PC-119,Logon
L1196,U119,2024-01-02 14:52:53.375603,PC-119,Logoff
L1197,U120,2024-01-02 09:06:30.076437,PC-120,Logon
L1217,U120,2024-01-02 17:51:27.321593,PC-120,Logoff
L1218,U121,2024-01-02 07:54:38.679641,PC-121,Logon
L1231,U121,2024-01-02 14:58:30.421929,PC-121,Logoff
L1232,U122,2024-01-02 09:17:06.701762,PC-122,Logon
L1249,U122,2024-01-02 16:29:30.975997,PC-122,Logoff
L1250,U123,2024-01-02 09:02:54.009302,PC-123,Logon
L1265,U123,2024-01-02 16:52:29.613941,PC-123,Logoff
L1266,U124,2024-01-02 09:27:19.859137,PC-124,Logon
L1283,U124,2024-01-02 17:04:35.127607,PC-124,Logoff
L1284,U125,2024-01-02 08:32:11.797203,PC-125,Logon
L1295,U125,2024-01-02 17:04:14.099916,PC-125,Logoff
L1296,U126,2024-01-02 10:01:04.775895,PC-126,Logon
L1314,U126,2024-01-02 18:23:44.764272,PC-126,Logoff
L1315,U127,2024-01-02 08:27:48.204973,PC-127,Logon
L1334,U127,2024-01-02 17:28:54.990823,PC-127,Logoff
L1335,U128,2024-01-02 08:14:03.641765,PC-128,Logon
L1353,U128,2024-01-02 16:35:31.702403,PC-128,Logoff
L1354,U129,2024-01-02 08:34:59.786129,PC-129,Logon
L1369,U129,2024-01-02 17:09:59.719089,PC-129,Logoff
L1370,U130,2024-01-02 09:03:37.844105,PC-130,Logon
L1386,U130,2024-01-02 17:06:41.789467,PC-130,Logoff
L1387,U131,2024-01-02 07:38:32.702916,PC-131,Logon
L1403,U131,2024-01-02 16:01:18.932339,PC-131,Logoff
L1404,U132,2024-01-02 08:39:55.230225,PC-132,Logon
L1424,U132,2024-01-02 18:17:21.690169,PC-132,Logoff
L1425,U133,2024-01-02 07:57:45.529392,PC-133,Logon
L1438,U133,2024-01-02 16:01:28.483654,PC-133,Logoff
L1439,U134,2024-01-02 07:55:09.986633,PC-134,Logon
L1457,U134,2024-01-02 16:40:37.647343,PC-134,Logoff
L1458,U135,2024-01-02 08:12:54.117838,PC-135,Logon
L1474,U135,2024-01-02 16:30:36.632284,PC-135,Logoff
L1475,U136,2024-01-02 07:56:32.560579,PC-136,Logon
L1490,U136,2024-01-02 15:55:29.237181,PC-136,Logoff
L1491,U137,2024-01-02 08:55:27.130173,PC-137,Logon
L1508,U137,2024-01-02 17:46:01.074603,PC-137,Logoff
L1509,U138,2024-01-02 08:21:45.363022,PC-138,Logon
L1523,U138,2024-01-02 14:02:37.103878,PC-138,Logoff
L1524,U139,2024-01-02 07:46:34.597160,PC-139,Logon
L1540,U139,2024-01-02 15:50:16.912599,PC-139,Logoff
L1541,U140,2024-01-02 07:39:09.957458,PC-140,Logon
L1554,U140,2024-01-02 14:44:30.410647,PC-140,Logoff
L1555,U141,2024-01-02 08:17:08.881450,PC-141,Logon
L1576,U141,2024-01-02 17:54:27.172036,PC-141,Logoff
L1577,U142,2024-01-02 08:30:18.960506,PC-142,Logon
L1593,U142,2024-01-02 16:37:20.824126,PC-142,Logoff
L1594,U143,2024-01-02 07:34:28.563845,PC-143,Logon
L1613,U143,2024-01-02 15:51:17.858902,PC-143,Logoff
L1614,U144,2024-01-02 07:50:58.402094,PC-144,Logon
L1631,U144,2024-01-02 14:48:02.584722,PC-144,Logoff
L1632,U145,2024-01-02 09:19:54.365742,PC-145,Logon
L1652,U145,2024-01-02 17:38:24.563702,PC-145,Logoff
L1653,U146,2024-01-02 07:26:37.373491,PC-146,Logon
L1673,U146,2024-01-02 16:11:00.041199,PC-146,Logoff
L1674,U147,2024-01-02 07:18:18.073741,PC-147,Logon
L1685,U147,2024-01-02 14:46:57.063209,PC-147,Logoff
L1686,U148,2024-01-02 08:19:43.465443,PC-148,Logon
L1703,U148,2024-01-02 16:14:00.543832,PC-148,Logoff
L1704,U149,2024-01-02 08:58:50.970943,PC-149,Logon
L1722,U149,2024-01-02 17:24:46.429564,PC-149,Logoff
L1723,U100,2024-01-03 08:23:40.600697,PC-100,Logon
L1742,U100,2024-01-03 16:52:45.855562,PC-100,Logoff
L1743,U101,2024-01-03 08:46:09.231950,PC-101,Logon
L1757,U101,2024-01-03 16:05:22.761890,PC-101,Logoff
L1758,U102,2024-01-03 07:53:56.068372,PC-102,Logon
L1772,U102,2024-01-03 14:55:58.198536,PC-102,Logoff
L1773,U103,2024-01-03 07:57:27.323881,PC-103,Logon
L1794,U103,2024-01-03 16:42:02.369323,PC-103,Logoff
L1795,U104,2024-01-03 08:30:53.801136,PC-104,Logon
L1809,U104,2024-01-03 16:39:35.550549,PC-104,Logoff
L1810,U105,2024-01-03 07:58:13.134817,PC-105,Logon
L1827,U105,2024-01-03 16:30:54.417838,PC-105,Logoff
L1828,U106,2024-01-03 09:20:47.517691,PC-106,Logon
L1844,U106,2024-01-03 17:20:32.925355,PC-106,Logoff
L1845,U107,2024-01-03 07:52:36.763366,PC-107,Logon
L1863,U107,2024-01-03 15:50:26.358419,PC-107,Logoff
L1864,U108,2024-01-03 09:12:45.128414,PC-108,Logon
L1882,U108,2024-01-03 18:00:19.263857,PC-108,Logoff
L1883,U109,2024-01-03 07:23:34.630189,PC-109,Logon
L1898,U109,2024-01-03 14:47:07.318951,PC-109,Logoff
L1899,U110,2024-01-03 08:56:57.196684,PC-110,Logon
L1920,U110,2024-01-03 18:30:36.290985,PC-110,Logoff
L1921,U111,2024-01-03 08:06:29.284726,PC-111,Logon
L1938,U111,2024-01-03 15:28:11.682235,PC-111,Logoff
L1939,U112,2024-01-03 08:14:51.136546,PC-112,Logon
L1957,U112,2024-01-03 15:19:03.717805,PC-112,Logoff
L1958,U113,2024-01-03 07:45:41.201176,PC-113,Logon
L1976,U113,2024-01-03 15:11:08.844930,PC-113,Logoff
L1977,U114,2024-01-03 08:05:17.823627,PC-114,Logon
L1993,U114,2024-01-03 16:16:11.163255,PC-114,Logoff
L1994,U115,2024-01-03 08:33:45.836263,PC-115,Logon
L2008,U115,2024-01-03 16:39:22.790479,PC-115,Logoff
L2009,U116,2024-01-03 08:59:14.042996,PC-116,Logon
L2024,U116,2024-01-03 18:13:24.573450,PC-116,Logoff
L2025,U117,2024-01-03 08:28:05.539464,PC-117,Logon
L2039,U117,2024-01-03 15:44:24.606420,PC-117,Logoff
L2040,U118,2024-01-03 08:45:22.990585,PC-118,Logon
L2051,U118,2024-01-03 16:16:34.355342,PC-118,Logoff
L2052,U119,2024-01-03 08:43:00.593725,PC-119,Logon
L2068,U119,2024-01-03 17:25:12.947892,PC-119,Logoff
L2069,U120,2024-01-03 07:23:32.331686,PC-120,Logon
L2083,U120,2024-01-03 14:49:20.215060,PC-120,Logoff
L2084,U121,2024-01-03 08:46:13.461594,PC-121,Logon
L2101,U121,2024-01-03 16:04:06.932145,PC-121,Logoff
L2102,U122,2024-01-03 08:46:11.236713,PC-122,Logon
L2117,U122,2024-01-03 16:19:08.671341,PC-122,Logoff
L2118,U123,2024-01-03 08:12:49.361010,PC-123,Logon
L2131,U123,2024-01-03 15:39:28.030821,PC-123,Logoff
L2132,U124,2024-01-03 08:07:59.387986,PC-124,Logon
L2147,U124,2024-01-03 15:56:09.006794,PC-124,Logoff
L2148,U125,2024-01-03 08:20:00.570085,PC-125,Logon
L2162,U125,2024-01-03 16:10:05.986288,PC-125,Logoff
L2163,U126,2024-01-03 08:49:09.702823,PC-126,Logon
L2185,U126,2024-01-03 17:35:25.886468,PC-126,Logoff
L2186,U127,2024-01-03 08:21:18.700250,PC-127,Logon
L2204,U127,2024-01-03 17:18:38.264031,PC-127,Logoff
L2205,U128,2024-01-03 07:57:18.023739,PC-128,Logon
L2218,U128,2024-01-03 16:35:30.590260,PC-128,Logoff
L2219,U129,2024-01-03 08:30:00.774018,PC-129,Logon
L2236,U129,2024-01-03 16:19:59.982649,PC-129,Logoff
L2237,U130,2024-01-03 07:29:58.272332,PC-130,Logon
L2254,U130,2024-01-03 15:24:27.595575,PC-130,Logoff
L2255,U131,2024-01-03 09:14:00.796026,PC-131,Logon
L2269,U131,2024-01-03 17:08:50.450312,PC-131,Logoff
L2270,U132,2024-01-03 08:46:55.342652,PC-132,Logon
L2289,U132,2024-01-03 18:15:12.897973,PC-132,Logoff
L2290,U133,2024-01-03 09:06:53.152237,PC-133,Logon
L2306,U133,2024-01-03 17:38:58.477598,PC-133,Logoff
L2307,U134,2024-01-03 08:17:36.787396,PC-134,Logon
L2319,U134,2024-01-03 15:45:16.404705,PC-134,Logoff
L2320,U135,2024-01-03 08:22:49.250824,PC-135,Logon
L2332,U135,2024-01-03 14:33:06.325285,PC-135,Logoff
L2333,U136,2024-01-03 07:46:27.303683,PC-136,Logon
L2346,U136,2024-01-03 14:37:32.724642,PC-136,Logoff
L2347,U137,2024-01-03 07:52:21.134132,PC-137,Logon
L2364,U137,2024-01-03 15:41:50.076083,PC-137,Logoff
L2365,U138,2024-01-03 08:13:53.928002,PC-138,Logon
L2378,U138,2024-01-03 15:35:23.340555,PC-138,Logoff
L2379,U139,2024-01-03 08:23:02.336505,PC-139,Logon
L2395,U139,2024-01-03 15:58:15.776040,PC-139,Logoff
L2396,U140,2024-01-03 08:34:04.038940,PC-140,Logon
L2412,U140,2024-01-03 17:39:51.344645,PC-140,Logoff
L2413,U141,2024-01-03 08:19:01.485774,PC-141,Logon
L2430,U141,2024-01-03 16:52:10.632901,PC-141,Logoff
L2431,U142,2024-01-03 08:43:26.200704,PC-142,Logon
L2449,U142,2024-01-03 18:34:43.267231,PC-142,Logoff
L2450,U143,2024-01-03 09:23:16.356834,PC-143,Logon
L2465,U143,2024-01-03 15:24:33.269609,PC-143,Logoff
L2466,U144,2024-01-03 08:09:15.114482,PC-144,Logon
L2482,U144,2024-01-03 14:57:17.188746,PC-144,Logoff
L2483,U145,2024-01-03 09:15:31.236590,PC-145,Logon
L2499,U145,2024-01-03 17:01:34.403133,PC-145,Logoff
L2500,U146,2024-01-03 09:00:52.896053,PC-146,Logon
L2521,U146,2024-01-03 18:30:54.901294,PC-146,Logoff
L2522,U147,2024-01-03 07:11:43.913761,PC-147,Logon
L2538,U147,2024-01-03 14:24:04.133013,PC-147,Logoff
L2539,U148,2024-01-03 08:36:30.133071,PC-148,Logon
L2552,U148,2024-01-03 16:13:56.217321,PC-148,Logoff
L2553,U149,2024-01-03 08:44:34.828461,PC-149,Logon
L2568,U149,2024-01-03 16:11:39.230275,PC-149,Logoff
L2569,U100,2024-01-04 09:06:09.634532,PC-100,Logon
L2582,U100,2024-01-04 16:55:48.691013,PC-100,Logoff
L2583,U101,2024-01-04 07:57:39.119655,PC-101,Logon
L2602,U101,2024-01-04 16:40:57.972074,PC-101,Logoff
L2603,U102,2024-01-04 07:32:04.692548,PC-102,Logon
L2619,U102,2024-01-04 15:11:21.595101,PC-102,Logoff
L2620,U103,2024-01-04 08:06:11.232916,PC-103,Logon
L2642,U103,2024-01-04 16:53:17.337164,PC-103,Logoff
L2643,U104,2024-01-04 08:39:01.189113,PC-104,Logon
L2660,U104,2024-01-04 17:26:33.919710,PC-104,Logoff
L2661,U105,2024-01-04 07:35:46.192246,PC-105,Logon
L2677,U105,2024-01-04 15:40:12.468753,PC-105,Logoff
L2678,U106,2024-01-04 09:13:47.503737,PC-106,Logon
L2692,U106,2024-01-04 15:46:30.206025,PC-106,Logoff
L2693,U107,2024-01-04 08:26:45.052101,PC-107,Logon
L2704,U107,2024-01-04 15:50:05.944221,PC-107,Logoff
L2705,U108,2024-01-04 07:35:27.797410,PC-108,Logon
L2719,U108,2024-01-04 16:43:52.638123,PC-108,Logoff
L2720,U109,2024-01-04 07:55:58.847667,PC-109,Logon
L2735,U109,2024-01-04 15:26:18.032258,PC-109,Logoff
L2736,U110,2024-01-04 08:45:19.387110,PC-110,Logon
L2756,U110,2024-01-04 17:25:38.536301,PC-110,Logoff
L2757,U111,2024-01-04 08:43:01.747440,PC-111,Logon
L2775,U111,2024-01-04 17:07:06.427376,PC-111,Logoff
L2776,U112,2024-01-04 08:30:26.494697,PC-112,Logon
L2789,U112,2024-01-04 15:40:09.501678,PC-112,Logoff
L2790,U113,2024-01-04 08:34:23.524185,PC-113,Logon
L2802,U113,2024-01-04 15:23:30.984050,PC-113,Logoff
L2803,U114,2024-01-04 08:10:27.931963,PC-114,Logon
L2818,U114,2024-01-04 16:28:56.205853,PC-114,Logoff
L2819,U115,2024-01-04 08:30:31.108596,PC-115,Logon
L2839,U115,2024-01-04 17:09:24.452302,PC-115,Logoff
L2840,U116,2024-01-04 08:12:16.254641,PC-116,Logon
L2857,U116,2024-01-04 17:03:36.512805,PC-116,Logoff
L2858,U117,2024-01-04 08:23:25.555162,PC-117,Logon
L2873,U117,2024-01-04 18:04:52.984712,PC-117,Logoff
L2874,U118,2024-01-04 09:20:10.509386,PC-118,Logon
L2889,U118,2024-01-04 17:44:53.126069,PC-118,Logoff
L2890,U119,2024-01-04 08:16:45.435261,PC-119,Logon
L2901,U119,2024-01-04 14:26:09.752739,PC-119,Logoff
L2902,U120,2024-01-04 07:30:23.451293,PC-120,Logon
L2917,U120,2024-01-04 15:14:05.957344,PC-120,Logoff
L2918,U121,2024-01-04 07:41:59.966692,PC-121,Logon
L2930,U121,2024-01-04 14:24:32.848732,PC-121,Logoff
L2931,U122,2024-01-04 08:24:21.571513,PC-122,Logon
L2947,U122,2024-01-04 17:25:59.095273,PC-122,Logoff
L2948,U123,2024-01-04 08:36:36.315722,PC-123,Logon
L2960,U123,2024-01-04 16:14:51.985643,PC-123,Logoff
L2961,U124,2024-01-04 08:15:34.927886,PC-124,Logon
L2978,U124,2024-01-04 16:20:38.891720,PC-124,Logoff
L2979,U125,2024-01-04 08:34:02.539037,PC-125,Logon
L2997,U125,2024-01-04 16:53:10.433244,PC-125,Logoff
L2998,U126,2024-01-04 07:57:47.580736,PC-126,Logon
L3014,U126,2024-01-04 15:17:27.863031,PC-126,Logoff
L3015,U127,2024-01-04 08:06:57.923074,PC-127,Logon
L3029,U127,2024-01-04 16:44:22.670291,PC-127,Logoff
L3030,U128,2024-01-04 08:38:16.007714,PC-128,Logon
L3041,U128,2024-01-04 14:23:27.443920,PC-128,Logoff
L3042,U129,2024-01-04 07:22:28.067169,PC-129,Logon
L3060,U129,2024-01-04 17:05:09.680879,PC-129,Logoff
L3061,U130,2024-01-04 09:30:47.539857,PC-130,Logon
L3075,U130,2024-01-04 16:01:29.365355,PC-130,Logoff
L3076,U131,2024-01-04 07:37:50.856903,PC-131,Logon
L3094,U131,2024-01-04 16:13:49.912707,PC-131,Logoff
L3095,U132,2024-01-04 07:24:45.912826,PC-132,Logon
L3113,U132,2024-01-04 16:12:03.626823,PC-132,Logoff
L3114,U133,2024-01-04 08:10:55.138162,PC-133,Logon
L3129,U133,2024-01-04 15:30:26.042653,PC-133,Logoff
L3130,U134,2024-01-04 08:10:09.432161,PC-134,Logon
L3146,U134,2024-01-04 16:18:42.620089,PC-134,Logoff
L3147,U135,2024-01-04 09:19:35.639312,PC-135,Logon
L3166,U135,2024-01-04 17:56:35.529808,PC-135,Logoff
L3167,U136,2024-01-04 09:10:31.332594,PC-136,Logon
L3182,U136,2024-01-04 16:52:25.025435,PC-136,Logoff
L3183,U137,2024-01-04 08:57:34.584714,PC-137,Logon
L3202,U137,2024-01-04 17:24:49.195494,PC-137,Logoff
L3203,U138,2024-01-04 08:21:32.180447,PC-138,Logon
L3214,U138,2024-01-04 15:36:54.339548,PC-138,Logoff
L3215,U139,2024-01-04 09:17:02.724576,PC-139,Logon
L3234,U139,2024-01-04 17:28:15.646030,PC-139,Logoff
L3235,U140,2024-01-04 08:38:11.816752,PC-140,Logon
L3253,U140,2024-01-04 15:43:00.807966,PC-140,Logoff
L3254,U141,2024-01-04 08:22:35.646565,PC-141,Logon
L3276,U141,2024-01-04 18:01:30.665739,PC-141,Logoff
L3277,U142,2024-01-04 08:58:50.458228,PC-142,Logon
L3290,U142,2024-01-04 16:37:56.982987,PC-142,Logoff
L3291,U143,2024-01-04 07:31:02.877305,PC-143,Logon
L3307,U143,2024-01-04 15:23:25.597264,PC-143,Logoff
L3308,U144,2024-01-04 09:01:04.573168,PC-144,Logon
L3327,U144,2024-01-04 18:22:54.249428,PC-144,Logoff
L3328,U145,2024-01-04 09:14:24.125886,PC-145,Logon
L3346,U145,2024-01-04 16:45:04.048276,PC-145,Logoff
L3347,U146,2024-01-04 08:51:07.008813,PC-146,Logon
L3362,U146,2024-01-04 17:21:59.777345,PC-146,Logoff
L3363,U147,2024-01-04 07:41:15.301995,PC-147,Logon
L3381,U147,2024-01-04 15:40:21.623984,PC-147,Logoff
L3382,U148,2024-01-04 09:00:33.810285,PC-148,Logon
L3391,U148,2024-01-04 15:25:45.946708,PC-148,Logoff
L3392,U149,2024-01-04 08:19:38.811083,PC-149,Logon
L3410,U149,2024-01-04 17:21:54.199849,PC-149,Logoff
L3411,U100,2024-01-05 08:12:19.297691,PC-100,Logon
L3428,U100,2024-01-05 16:19:44.894158,PC-100,Logoff
L3429,U101,2024-01-05 08:09:56.014857,PC-101,Logon
L3448,U101,2024-01-05 18:36:56.020239,PC-101,Logoff
L3449,U102,2024-01-05 09:17:45.705464,PC-102,Logon
L3467,U102,2024-01-05 18:27:18.474710,PC-102,Logoff
L3468,U103,2024-01-05 07:47:49.436913,PC-103,Logon
L3482,U103,2024-01-05 14:11:48.142638,PC-103,Logoff
L3483,U104,2024-01-05 08:35:42.709667,PC-104,Logon
L3500,U104,2024-01-05 17:22:32.162919,PC-104,Logoff
L3501,U105,2024-01-05 08:17:32.621340,PC-105,Logon
L3520,U105,2024-01-05 15:54:32.131865,PC-105,Logoff
L3521,U106,2024-01-05 08:36:44.890387,PC-106,Logon
L3539,U106,2024-01-05 16:55:50.105154,PC-106,Logoff
L3540,U107,2024-01-05 08:39:18.873563,PC-107,Logon
L3558,U107,2024-01-05 15:56:28.750173,PC-107,Logoff
L3559,U108,2024-01-05 09:28:24.185115,PC-108,Logon
L3574,U108,2024-01-05 18:06:15.480896,PC-108,Logoff
L3575,U109,2024-01-05 07:25:53.543177,PC-109,Logon
L3588,U109,2024-01-05 15:03:51.778122,PC-109,Logoff
L3589,U110,2024-01-05 08:41:06.314038,PC-110,Logon
L3607,U110,2024-01-05 16:20:34.158383,PC-110,Logoff
L3608,U111,2024-01-05 08:17:53.837861,PC-111,Logon
L3625,U111,2024-01-05 17:00:43.531720,PC-111,Logoff
L3626,U112,2024-01-05 07:59:08.779388,PC-112,Logon
L3643,U112,2024-01-05 15:46:54.999305,PC-112,Logoff
L3644,U113,2024-01-05 09:01:52.243559,PC-113,Logon
L3664,U113,2024-01-05 18:40:51.944454,PC-113,Logoff
L3665,U114,2024-01-05 08:49:58.181438,PC-114,Logon
L3677,U114,2024-01-05 15:57:47.275946,PC-114,Logoff
L3678,U115,2024-01-05 08:46:01.151773,PC-115,Logon
L3697,U115,2024-01-05 17:29:34.588020,PC-115,Logoff
L3698,U116,2024-01-05 08:55:51.389347,PC-116,Logon
